smiles,name
C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2CC[C@@H](N)C[C@H]2O)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,lefamulin
CCC(c1ccccc1)c1noc(CCN(CC)CC)n1,proxazole
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CC#N)[C@H]2SC1,cefacetrile
CC[C@@H](Oc1cccc(CN(CCCOc2ccc(OC)cc2)c2nc3ccccc3o2)c1)C(=O)O,pemafibrate
Cc1ccc2c(c1)Sc1ccc(C)cc1S2,mesulfen
CN1CCOC(c2ccccc2)c2ccccc2C1,nefopam
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](Cl)C[C@@]21C,dichlorisone
CCC(C(=O)NC(=O)NC(C)=O)c1ccccc1,acetylpheneturide
CC1=C/C(=N\OCC(=O)O)c2ccccc2C1=O,menadoxime
COc1cc(C=NNC(=O)c2ccncc2)ccc1O,ftivazide
O1O[Mg]1,magnesium peroxide
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,phentolamine
C[C@@H]1CCC[C@H](C)N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,clopamide
CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,acetylcarnitine
CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1,prenylamine
Cc1ncc([N+](=O)[O-])n1CCO,metronidazole
CC(C)NCC(O)c1ccc([N+](=O)[O-])cc1,nifenalol
C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]21CCC(=O)O1,canrenone
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Oc2c(C)c(C)c3c(c2C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O3)C(C)(C)CCC1,tretinoin tocoferil
COc1ccc2c(=O)c(C)c(-c3ccccc3)oc2c1CN(C)C,dimefline
COC(=O)Nc1c(N)nc(-c2nn(Cc3ccccc3F)c3ncc(F)cc23)nc1N,vericiguat
CNCC(=O)c1ccc(O)c(O)c1,adrenalone
CCC1(CC)C(=O)NC(=O)N(C)C1=O,metharbital
COc1ccc2c(c1)Sc1ccc(C(C)C(=O)O)cc1N2C,protizinic acid
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1O,mizoribine
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,clenbuterol
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,tolmetin
O=C(O)c1ccccc1Nc1cc(Cl)ccc1C(=O)O,lobenzarit
CC(=O)O[C@@H](C)C(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,fluperolone
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,cefaloglycin
C[C@@H](Cc1ccccc1)NCc1ccccc1Cl,clobenzorex
Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,vortioxetine
CCNC(C)Cc1ccccc1,etilamfetamine
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,trimethoprim
O[C@@H]([C@H](O)[C@H](O)CBr)[C@H](O)CBr,mitobronitol
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,dapsone
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,carprofen
C=CCc1cc(-c2cc(CC=C)c(O)c(CN(CC)CC)c2)cc(CN(CC)CC)c1O,bialamicol
COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21,copanlisib
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,mitoxantrone
O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1,selinexor
CN(C)CCN(Cc1cccs1)c1ccccn1,methapyrilene
COc1ccc(NS(=O)(=O)c2ccc(NC(c3c(C)n(C)n(-c4ccccc4)c3=O)S(=O)(=O)O)cc2)nn1,sulfamazone
OCCN1CCCCC1C(c1ccccc1)c1ccccc1,difemetorex
COC(CN1CCN(CC(O)C(OC)c2ccccc2)CC1)c1ccccc1,zipeprol
NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,piretanide
